window,total_pnl,win_rate,profit_factor,avg_win,avg_loss,num_trades,TENKAN_SEN_PERIOD,KIJUN_SEN_PERIOD,SENKOU_SPAN_B_PERIOD,RSI_PERIOD,RSI_OVERBOUGHT,RSI_OVERSOLD,ADX_PERIOD,ADX_THRESHOLD,BBANDS_PERIOD,BBANDS_STD,STOP_LOSS_MULTIPLIER,TAKE_PROFIT_MULTIPLIER,POSITION_SIZE_PCT
3,-5751.544115415164,0.38701825557809333,0.39910610913462546,2.030940733363584,-5.088723742583735,2465,10,29,59,23,76.46352668464816,16.44460710836367,15,31.3210381660613,19,1.6433509715043892,1.9456230075631726,3.5597342121622426,3.809104583888452
5,-5563.031545688975,0.37142857142857144,0.33936112387628975,1.5333862843884611,-4.518450041871737,2450,12,29,39,15,65.80867179076863,29.213257793715748,12,28.786730037315404,18,2.3957635956735195,1.6884255579552796,3.253102287905535,17.692386074227063
8,-5252.980845024152,0.283234126984127,0.45472286575493476,2.0151381171759253,-4.431574193724294,2016,12,22,60,20,66.87769142209522,28.34802847838904,15,26.76142363685123,17,2.1666244564596524,1.9977897192095766,2.5244753852555757,11.363693313952627
15,-5528.624730957317,0.2804964539007092,0.46177015764055473,1.534467051522873,-3.3230104330763477,2820,12,29,39,24,67.1932201330712,30.618910289947948,12,28.776894085389156,23,2.471108108406932,1.6887374364045906,3.253308482280859,18.537774990621354
27,-5402.290306474622,0.279333838001514,0.38823111149761935,1.2966652551044429,-3.3399313365240024,2642,8,35,57,25,67.71388392806524,34.834844774047504,17,40.0,25,1.5150091944427166,1.919711649674356,2.959673615806671,21.190166015336914
