entry_timestamp,exit_timestamp,entry_price,exit_price,size,trade_type,pnl,final_equity,exit_reason,window,window_start_capital,bars_in_trade,max_adverse_excursion,max_favorable_excursion,TENKAN_SEN_PERIOD,KIJUN_SEN_PERIOD,SENKOU_SPAN_B_PERIOD,RSI_PERIOD,RSI_OVERBOUGHT,RSI_OVERSOLD,min_confidence,strong_signal_threshold,confluence_threshold,volatility_threshold,volatility_window,trend_window,momentum_window,ADX_THRESHOLD
2025-04-02 17:55:00,2025-04-02 18:00:00,86658.637665,86537.14978,0.1096255405805542,1,-13.318175067112653,9973.363649865776,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 18:00:00,2025-04-02 18:05:00,86623.73022,86434.82097,0.1093775971469875,1,-20.662439843839216,9932.038770178096,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 18:05:00,2025-04-02 18:10:00,86521.29903,86475.690525,0.1090533422111195,1,-4.973759903502174,9922.091250371093,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 18:10:00,2025-04-02 18:15:00,86562.209475,86392.1823,0.1088926304564217,1,-18.514706334823867,9885.061837701447,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 18:15:00,2025-04-02 18:20:00,86478.61769999999,86366.53513,0.10859110605113632,1,-12.171170245352187,9860.719497210743,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 18:20:00,2025-04-02 18:25:00,86452.94487,86193.34177000001,0.1083558638336319,1,-28.129518154387966,9804.460460901966,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 18:25:00,2025-04-02 18:50:00,86279.57823,86490.83295000001,0.07556789613782292,1,15.964074739585747,9838.401148733074,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 18:50:00,2025-04-02 18:55:00,86577.36705,86242.87699,0.10795524754060329,1,-36.10995722717086,9766.181234278733,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 18:55:00,2025-04-02 19:05:00,86329.16301,86287.72455500001,0.07522962454811546,1,-3.1173994115036683,9762.246430444622,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 19:05:00,2025-04-02 19:10:00,86374.05544499999,86228.594135,0.10737175719192481,1,-15.61843645813761,9731.009557528349,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 19:10:00,2025-04-02 19:15:00,86314.86586499999,86203.826525,0.10710158658081734,1,-11.892489486885577,9707.224578554578,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 19:15:00,2025-04-02 19:25:00,86290.073475,86307.92445,0.07480935042440343,1,1.335419844192899,9711.752929872004,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 19:25:00,2025-04-02 19:35:00,86394.27555,86351.592605,0.10679139589565552,1,-4.558171277488317,9702.636587317029,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 19:35:00,2025-04-02 20:05:00,86437.98739499999,86594.371155,0.05331859889234513,1,8.338162972717381,9743.947844403645,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 20:05:00,2025-04-02 20:20:00,86681.008845,87315.57037500001,0.05339549328928592,1,33.88272591675434,9870.19156820444,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 20:20:00,2025-04-02 20:25:00,87402.92962499999,85849.69368000001,0.1072810949246739,1,-166.63285285595828,9536.925862492522,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 20:25:00,2025-04-02 21:10:00,85935.58631999999,84507.635045,0.10542872815960903,1,-150.54708679714054,9235.831688898243,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 21:10:00,2025-04-02 21:25:00,84592.184955,84579.419135,0.06650617501975535,1,-0.8490058591907286,9234.133677179861,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 21:25:00,2025-04-02 22:00:00,84664.04086499999,84336.91045000001,0.05211657248831151,1,-17.04891598647777,9200.035845206907,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 22:00:00,2025-04-02 22:30:00,84421.28955,83087.765335,0.052759540043460784,1,-70.35612422021698,9059.323596766471,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-02 22:30:00,2025-04-03 00:25:00,83170.894665,82916.52100000001,0.05272299084653549,1,-13.411340411394258,9032.500915943683,Stop Loss,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
2025-04-03 00:25:00,2025-04-03 00:45:00,82999.47899999999,83095.73135,0.033266994722646756,1,3.202026419492673,9050.000542799507,Trailing Take Profit,2,10000.0,,,,14,34,63,14,70.213079515498,26.460666242893467,,,,,,,,29.585704609862013
